"","from","to","edge_direction","edge_type","frequency"
"9256","Stromal24","Stromal64","-->","dd_nl/pd_nl",35
"9296","Stromal26","Epi73","-->","dd_nl/pd_nl",23
"9312","Stromal26","Stromal16","-->","dd_nl/pd_nl",34
"9434","Stromal28","Stromal16","-->","dd_nl/pd_nl",26
"9448","Stromal28","Stromal6","-->","dd_nl/pd_nl",53
"9454","Stromal28","Stromal66","-->","dd_nl/pd_nl",33
"9502","Stromal3","Epi80","-->","dd_nl/pd_nl",21
"9520","Stromal3","Stromal14","-->","dd_nl/pd_nl",64
"9551","Stromal3","Stromal8","-->","dd_nl/pd_nl",64
"9634","Stromal32","Stromal66","-->","dd_nl/pd_nl",22
"9711","Stromal34","Mye62","-->","dd_nl/pd_nl",23
"9726","Stromal34","Stromal27","-->","dd_nl/pd_nl",23
"9745","Stromal34","Stromal63","-->","dd_nl/pd_nl",31
"9829","Stromal35","Stromal49","-->","dd_nl/pd_nl",75
"9836","Stromal35","Stromal64","-->","dd_nl/pd_nl",36
"9863","Stromal37","Mye1","-->","dd_nl/pd_nl",27
"9870","Stromal37","Mye43","-->","dd_nl/pd_nl",53
"9875","Stromal37","Mye59","-->","dd_nl/pd_nl",36
"9882","Stromal37","Stromal11","-->","dd_nl/pd_nl",29
"9899","Stromal37","Stromal55","-->","dd_nl/pd_nl",49
"9952","Stromal4","Stromal12","-->","dd_nl/pd_nl",35
"9960","Stromal4","Stromal20","-->","dd_nl/pd_nl",32
"9964","Stromal4","Stromal23","-->","dd_nl/pd_nl",53
"9968","Stromal4","Stromal3","-->","dd_nl/pd_nl",21
"9978","Stromal4","Stromal62","-->","dd_nl/pd_nl",26
"10026","Stromal40","B23","-->","dd_nl/pd_nl",22
"10041","Stromal40","Mye24","-->","dd_nl/pd_nl",22
"10052","Stromal40","Stromal58","-->","dd_nl/pd_nl",32
"10054","Stromal40","Stromal78","-->","dd_nl/pd_nl",37
"10163","Stromal42","Epi76","-->","dd_nl/pd_nl",28
"10170","Stromal42","Stromal17","-->","dd_nl/pd_nl",29
"10186","Stromal43","Epi12","-->","dd_nl/pd_nl",40
"10188","Stromal43","Epi14","-->","dd_nl/pd_nl",28
"10229","Stromal44","Mye19","-->","dd_nl/pd_nl",74
"10283","Stromal45","Stromal7","-->","dd_nl/pd_nl",28
"10315","Stromal48","Mye43","-->","dd_nl/pd_nl",21
"10358","Stromal49","Stromal15","-->","dd_nl/pd_nl",73
"10414","Stromal5","Epi26","-->","dd_nl/pd_nl",46
"10532","Stromal55","Mye58","-->","dd_nl/pd_nl",23
"10545","Stromal55","Stromal37","-->","dd_nl/pd_nl",30
"10578","Stromal56","B29","-->","dd_nl/pd_nl",32
"10583","Stromal56","B41","-->","dd_nl/pd_nl",43
"10602","Stromal56","Mye9","-->","dd_nl/pd_nl",44
"10645","Stromal58","B9","-->","dd_nl/pd_nl",33
"10651","Stromal58","Epi81","-->","dd_nl/pd_nl",58
"10670","Stromal58","Stromal40","-->","dd_nl/pd_nl",30
"10777","Stromal59","Stromal45","-->","dd_nl/pd_nl",32
"10869","Stromal6","Stromal27","-->","dd_nl/pd_nl",34
"10957","Stromal61","Stromal41","-->","dd_nl/pd_nl",71
"11027","Stromal62","Mye59","-->","dd_nl/pd_nl",25
"11040","Stromal62","Stromal35","-->","dd_nl/pd_nl",23
"11113","Stromal63","Stromal26","-->","dd_nl/pd_nl",21
"11128","Stromal63","Stromal59","-->","dd_nl/pd_nl",35
"11190","Stromal64","Epi80","-->","dd_nl/pd_nl",60
"11200","Stromal64","Stromal24","-->","dd_nl/pd_nl",23
"11223","Stromal65","B16","-->","dd_nl/pd_nl",27
"11241","Stromal65","Epi41","-->","dd_nl/pd_nl",29
"11243","Stromal65","Epi42","-->","dd_nl/pd_nl",36
"11249","Stromal65","Epi49","-->","dd_nl/pd_nl",43
"11258","Stromal65","Epi64","-->","dd_nl/pd_nl",53
"11393","Stromal66","Mye50","-->","dd_nl/pd_nl",23
"11409","Stromal66","Stromal32","-->","dd_nl/pd_nl",21
"11458","Stromal68","Epi19","-->","dd_nl/pd_nl",31
"11468","Stromal68","Mye21","-->","dd_nl/pd_nl",23
"11475","Stromal68","TNK18","-->","dd_nl/pd_nl",41
"11562","Stromal73","B17","-->","dd_nl/pd_nl",25
"11568","Stromal73","B26","-->","dd_nl/pd_nl",27
"11607","Stromal73","Mye23","-->","dd_nl/pd_nl",23
"11626","Stromal73","Mye72","-->","dd_nl/pd_nl",42
"11787","Stromal78","Mye74","-->","dd_nl/pd_nl",22
"11859","Stromal8","Stromal2","-->","dd_nl/pd_nl",65
"11889","Stromal80","Epi23","-->","dd_nl/pd_nl",82
"11900","Stromal80","TNK23","-->","dd_nl/pd_nl",28
"11937","Stromal85","Epi9","-->","dd_nl/pd_nl",30
"11996","Stromal9","Stromal12","-->","dd_nl/pd_nl",34
"12002","Stromal9","Stromal20","-->","dd_nl/pd_nl",37
"12049","TNK1","B1","-->","dd_nl/pd_nl",40
"12084","TNK1","Mye53","-->","dd_nl/pd_nl",22
"12098","TNK1","TNK2","-->","dd_nl/pd_nl",24
"12100","TNK1","TNK29","-->","dd_nl/pd_nl",28
"12125","TNK10","B14","-->","dd_nl/pd_nl",26
"12137","TNK10","B57","-->","dd_nl/pd_nl",44
"12197","TNK11","B8","-->","dd_nl/pd_nl",35
"12206","TNK11","Mye17","-->","dd_nl/pd_nl",43
"12271","TNK12","Mye16","-->","dd_nl/pd_nl",41
"12273","TNK12","Mye18","-->","dd_nl/pd_nl",49
"12281","TNK12","Mye62","-->","dd_nl/pd_nl",54
"12296","TNK12","TNK3","-->","dd_nl/pd_nl",33
"12303","TNK12","TNK8","-->","dd_nl/pd_nl",47
"12506","TNK15","TNK14","-->","dd_nl/pd_nl",35
"12559","TNK16","Mye32","-->","dd_nl/pd_nl",41
"12596","TNK17","B41","-->","dd_nl/pd_nl",42
"12608","TNK17","Mye20","-->","dd_nl/pd_nl",26
"12622","TNK17","Stromal56","-->","dd_nl/pd_nl",45
"12652","TNK18","Epi56","-->","dd_nl/pd_nl",25
"12664","TNK18","Stromal68","-->","dd_nl/pd_nl",22
"12669","TNK18","TNK9","-->","dd_nl/pd_nl",61
"12684","TNK19","B20","-->","dd_nl/pd_nl",31
"12699","TNK19","Mye56","-->","dd_nl/pd_nl",63
"12721","TNK2","B7","-->","dd_nl/pd_nl",23
"12732","TNK2","Mye3","-->","dd_nl/pd_nl",24
"12748","TNK2","TNK38","-->","dd_nl/pd_nl",36
"12833","TNK22","Epi44","-->","dd_nl/pd_nl",41
"12844","TNK22","Stromal18","-->","dd_nl/pd_nl",33
"12860","TNK22","TNK33","-->","dd_nl/pd_nl",40
"12958","TNK26","Mye22","-->","dd_nl/pd_nl",52
